gutenberg_id,title,authors,languages,subjects,bookshelves,download_count,copyright
26301,Pride and Prejudice,"Austen, Jane",en,"Courtship -- Fiction, Domestic fiction, England -- Fiction",Best Books Ever Listings,6078,false
45109,The Enchiridion,Epictetus,en,"Conduct of life -- Early works to 1800, Ethics, Ancient","Category: Classics of Literature, Category: Philosophy & Ethics",6053,false
53419,Twenty-Five Ghost Stories,Unknown,en,"Fiction, Ghost stories","Category: Crime, Thrillers and Mystery, Category: Short Stories, Horror",6044,false
45634,Myths of the Cherokee: Extract from the Nineteenth Annual Report of the Bureau of American Ethnology,"Mooney, James",en,"Cherokee Indians -- Folklore, Cherokee Indians -- History, Cherokee mythology","Category: Archaeology & Anthropology, Category: History - American, Category: Mythology, Legends & Folklore",6008,false
23042,The Tempest: The Works of William Shakespeare [Cambridge Edition] [9 vols.],"Shakespeare, William",en,"Fathers and daughters -- Drama, Islands -- Drama, Magicians -- Drama","Category: British Literature, Category: Classics of Literature, Category: Plays/Films/Dramas",5979,false
30142,Little Brother,"Doctorow, Cory",en,"Civil rights -- Fiction, Computer hackers -- Fiction, Counterculture -- Fiction","Category: American Literature, Category: Children & Young Adult Reading, Category: Novels",5948,true
1057,"Poems, with The Ballad of Reading Gaol","Wilde, Oscar",en,"Poetry, Prisons -- Poetry","Category: British Literature, Category: Poetry",5941,false
27200,Fairy Tales of Hans Christian Andersen,"Andersen, H. C. (Hans Christian)",en,"Children's stories, Danish -- Translations into English, Fairy tales, Fairy tales -- Denmark","Category: Children & Young Adult Reading, Category: Mythology, Legends & Folklore",5921,false
23077,Jane Eyre,"Brontë, Charlotte",en,"Bildungsromans, Charity-schools -- Fiction, Country homes -- Fiction","",5913,false
9800,"The Rape of the Lock, and Other Poems","Pope, Alexander",en,"Catholics -- England -- Poetry, English poetry -- 18th century, Young women -- Poetry","Category: British Literature, Category: Classics of Literature, Category: Humour",5900,false
2232,The Duchess of Malfi,"Webster, John",en,"English drama -- 17th century, Retribution -- Drama, Siblings -- Drama","Category: British Literature, Category: Plays/Films/Dramas, Harvard Classics",5878,false
28794,"Moby Dick; Or, The Whale","Melville, Herman",en,"Adventure stories, Ahab, Captain (Fictitious character) -- Fiction, Mentally ill -- Fiction",Best Books Ever Listings,5877,false
57628,"The Principles of Psychology, Volume 1 (of 2)","James, William",en,Psychology,"Category: Philosophy & Ethics, Category: Psychiatry/Psychology",5842,false
10554,"Right Ho, Jeeves","Wodehouse, P. G. (Pelham Grenville)",en,"England -- Fiction, Humorous stories, Jeeves (Fictitious character) -- Fiction","Category: British Literature, Category: Humour, Category: Novels",5835,false
73,The Red Badge of Courage: An Episode of the American Civil War,"Crane, Stephen",en,"Chancellorsville, Battle of, Chancellorsville, Va., 1863 -- Fiction, Historical fiction, United States -- History -- Civil War, 1861-1865 -- Fiction","Best Books Ever Listings, Bestsellers, American, 1895-1923, Category: American Literature",5832,false
863,The Mysterious Affair at Styles,"Christie, Agatha",en,"Belgians -- England -- Fiction, Detective and mystery stories, Poirot, Hercule (Fictitious character) -- Fiction","Category: British Literature, Category: Crime, Thrillers and Mystery, Category: Novels",5828,false
1250,Anthem,"Rand, Ayn",en,"Individuality -- Fiction, Love stories, Men -- Psychology -- Fiction","Category: American Literature, Category: Novels, Category: Science-Fiction & Fantasy",5825,false
